Yorum,Yildiz,Ulasim,Rehber,Organizasyon,Otel,Yemek
"10-14 kasım GAP turuna gezilife firması tercihimiz ile yola çıktık.. gezi firması bakımlarını yaptığını söylediği otobüse samsundan binerek yola çıktık.. ilk durağımız g.antep te tren içinde kişi başı 400 tl firmanın aldığı kahvaltı programı idi. Kahvaltı için trene bindik mekan aşırı dar ve personel çok kaba davranışlı idi.. örn. Masaya su istedik ekstra para denildi , patates bitti dedik ekstra tl istendi börek içinde aynı şeyleri duyduk kısacası memnun kalmadık .. restoran puanı vermek için sitesine girdim kişi başı 275 tl olan kahvaltı yı gezi firması 400 tl toplayarak götürmüş bizi..bu durum hoşumuza gitmedi ..
Devamında antep e girdik sorunsuz gezdik devamında urfaya vardık sorun yok ancak mardin şehir girişinde arabamız bozuldu , firma yetkilisi bize yeni bir otobus buldu o bizi midyat a bıraktı 1 saat gezdik sonrasında başka bir araç bizi mardin de otele bıraktı ertesi sabah başka bir otobusle mardin ve diyarbakır gezisi yaptık ve samsuna döndük.. genellemek gerekirse firmanın önerisi ile girdiğimiz yemek yeme mekanları çok hoşuma gitmedi sadece diyarbakırda ki pınar restorant hariç, oteller ise lüks değil ama gecelik konaklama için ideal , gezi hakkında son olarak belirtmek isterim ki görülmesi gereken yerler ancak biraz daha kaliteli mekanlar eşliğinde yapılsa daha iyi olurdu..",2,2,0,2,2,2
"Rehberimizin bölge hakkında, tatih ve kültürel bilgisi olmaması nedeniyle tam bir fiyasko.Kısacası rehberimize de bir rehber gerekliydi. Yönlendirdiği yerler diğer yerlere göre daha pahalı idi. Yemek için durulacak yerlerde mutlaka bireysel hareket edin. Daha ucuza ve daha iyi hizmet alabilirsiniz.",2,0,1,2,0,1
Merzifon yardım severler derneği olarak yapmış olduğumuz doğu Anadolu turumuz için başta firma sahibi şehri hanıma şükran hanıma rehberimiz murat beye kaptanlarımız İbrahim ve cengiz beye çok teşekkür ederiz her konuda mükemmel bir firma bidahaki turlarda görüşmek üzere ❤️❤️,2,1,1,1,0,0
"Yorumları okuyunca ben hangi tur ile gittim diye düşündüm.Zira gece seyahati boyunca açılmayan klima,ilk gün kaldığımız otelin yetersizliği ve otelde odalara çıkabilmek için neredeyse 1 saat bekleyisimiz.
Çok ciddi rehber eksikliği (kesinlikle yerel rehber alinmaliydi).
Ancak duruma fiyat odaklı bakarsak fiyat gayet makul onu da belirtmem gerekir.",2,2,2,2,2,0
Bazı kişiler canlı yayın açıp insanları çekiyorlar otobüsdeyken rahatsız oldum açıkcası. ama onun dışında gezdiğimiz yerler çok güzeldi.,2,2,0,0,0,0
Ben çok memnun kaldım ilk defa gezilife ile gittim şehri hanım ve ekibinden çok memnun kaldım hepsine teşekkürler,2,0,0,1,0,0
Otobüs dışında herşey çok güzeldi teşekkürler,2,1,0,0,0,0
Öncelikle biz 3 arkadaş GAP turuna katıldık. Tur rehberinden çok memnun kaldık elinden gelen her şeyi yaptı ve anlattı. Ancak memnun kalmadığımız durumlar yaşandı mesela gezilecek her yerde 5 er dakika kaldık rehberi dinlesek gezip göremedik dinlemesek boş gezmiş olduk fotoğraf çekinmeye gezmeye kahve içmeye hiç bir vaktimiz yoktu alel aceleydi. Acentenin otobüs içindeki tavır ve tutumlarından memnun kalmadık açıkçası otobüsün sadece ön koltuklarda oturan kişileriyle ilgilenildi duyuruları duyulmadı. Gereken özenin verildiğini düşünmüyorum. Tamamen koşturmayla geçti ama nasıl oluyorsa turun anlaşmalı baharatçısında saatler verilebildi. Hiç bir yerin tadını çıkarabildiğimizi düşünmüyorum. Oteller ve rota evet güzeldi ama acente seçiminin önemini görmüş olduk.,2,2,2,1,1,0
"Rehberimizin bölge hakkında, tatih ve kültürel bilgisi olmaması nedeniyle tam bir fiyasko.Kısacası rehberimize de bir rehber gerekliydi. Yönlendirdiği yerler  yerlere göre daha pahalı idi. Yemek için durulacak yerlerde mutlaka bireysel hareket edin. Daha ucuza ve daha iyi hizmet alabilirsiniz.",2,0,1,2,0,1
Ne istediğini ne kadar ödediğiniz ile doğru orantılı olması lazım o sebeple ücretinin uygunluğu konaklama ve otel anlamında geziye yansımaktadır.insanın olduğu yerde çoklu istek ve problemler olabiliyor bunların çözümünde rehberin tutumu ulaşımda şoförlerin ilgi(valizlerle ilgilenmesi araçta uyuma kalitesinde Araç kullanımı güzergahlara zamanında ulasımi ve guleryuzu) kaliteli bir seyahat sağlaması gezideki kaliteyi arttırıyor.Iki sefer katıldım fiyata ve ödeme kolaylığına göre 1. GAP mükemmeldi 2. Ege türü vasatın üstü idi tekrar kullanirmisin kismi ise tsbiki taahut ettiklri programa uyguyorlar..,3,1,1,1,0,0
"Ben Samsun çıkışlı Mardin turuna katılan misafirinizim.Öncelikle otobüs çok eski ve seyahate hazır değil.Koltuklar kırık, kolçaklar kırıktı.Böyle uzun yola bir tur düzeleniyorsa en önemli olan ulaşım aracıdır.Bunun yanında Simge Hanım çok güleryüzlü ve ilgiliydi.Şoförlerimize ve Simge Hanıma teşekkür ederim. Rehberlik hizmeti de çok iyiydi özellikle Abdullah Hoca çok bilgili ve bilgisini net aktarabilen bir liderdi.Sadece rehberlik yapmakla kalmayıp tüm misafirlerle ayrı ayrı ilgilenmesi,güler yüzlülüğü ve hoş sohbeti ile tüm misafirlerin gönlünü kazandı.Kaldığımız oteller de gayret iyiydi,fiyat performans otellerdi.Her şey için teşekkür ederiz.",3,2,1,1,1,0
"Merhabalar otobüs çok rahatsız koltuklar çok sert boynum belim berbat ağrıdı, zaten baştan bir müşteri memnuniyetsizliği yaşadım şöyle oldu firmayı aradım yerimin 21-22 numara olduğunu söylediler ben ve kızımın mide bulantısı olduğunu söyledim, yok oturma planı bilet alış sırasına göre oluyormuş ben biletitimi mayıs sonu gibi aldım birde nisan mart gibi alan arkadaşlar vardı bizi taa arkalara 41-42 sıraya yazmışlar ben arıyorum 22 diyorlar liste atılıyor 42 oluyor. Birde sanki yalan konuşuyormuşuz gibi biz sıra numarası söylemedik diyorlar. Ayrıca hasta olduğumu engelli kartımın raporumun olduğunu belirttiğim halde kızımı ve beni en arka sıralarda oturttular, bu durum beni üzdü. Dönüşte tatil bittiğinde valizleri indirirken valizimin tekerini kırdılar ve bunun için de bir çözüm önermediler, memnun kalmadım.",3,2,0,2,0,0
Personelin kabalığı ve rehberin bilgisizliği dışında güzel bir turdu. Ancak Gezi Life'ı tavsiye etmem.,3,0,2,1,0,0
"Batum&Tiflis turuna katıldık, genel olarak güzel ve yorucu geçiyor , ilk gün 10 saatlik bir yolculuk ile Batum'a varılıyor 2 saatlik bir hızlıca tur yapılıyor sonra Tiflis için öğlen saatlerinde yola çıkılıp gecesi tifliste olunuyor konaklama güzeldi ( otel) 2.gün otelde kahvaltı yapılıp, Tiflis dipten uca hızlı bir şekilde geziliyor koştur koştur şekilde .. Aşırı sıcak bir yer olduğu için bu çok yorucu oluyor . Akşam sekizde otele dönülüyor yorgunluktan mecaliniz kalmayacağı için gece bir şey yapamıyorsunuz .3. Gün otelde kahvaltı yapılıp bir tane daha klise geçilip hediyelik eşya alınıp öğlende dönüş için yola çıkılıyor arada yemek molaları verilip sarp kapısına geliniyor alışveriş yapılıp akşam üzeri Hopa da olunuyor (biz Samsun'dan katıldık, sabah 6 7 gibi Samsun'da olduk .. yol fazla uzak olduğu için gerçekten aşırı yoruluyorsunuz . Rehberimiz 1.gün ve 2. Gün yanımızda oldu . Melisa hanıma teşekkürler ilgisi güzeldi..",3,1,1,1,2,2
Gezi life Turizm bizimle ilgilenen Simge Hanımdan ve Tur rehberimiz Abdullah Bey den çok memnun kaldık güler yüzü samimiyeti içtenliği ve en önemlisi ilgisi onun için tercih edebilirsiniz oteller hakkında yorum yapmak istemiyorum ☺️ sıra gecesi harika,3,0,1,1,1,0
Güzel bir Batum turu geçirdik . Bol yürümeli uzun tarih bilgili gerek eğlenceli gerek heyecanlı bir etkinlikti . Simge Hanım ve Uğur Bey’e çok teşekkür ederiz her koşulda nazımızı çektiler . Ve gezilife ailesine de teşekkürler.. 💐,4,0,0,1,0,0
"GEZİLİFE ile ilk gezimiz 16-19 Mayıs tarihlerinde Batum-Tiflis olarak gerçekleştirdik, arkadaşım aracılığı ile katıldım.. Şehri Hn'ın bizlere ilgi ve alakası, kaptanları ilgileri ve yardımcı olmaları,güler yüzlü olmaları mutlu etti.
Tiflis'deki Tamara hn rehberimizde çok güzel anlatım yaptı ve güler yüzlüydü..
Herkese bu güzel gezi için teşekkür ederim.. Yeni yerleri gezip görmek dileğiyle🌺🌹❤️",4,1,1,1,0,0
"12-16 Kasım Gap turuna ailecek katıldık. Simge Hanım ve rehberimiz Abdullah bey bilgili ve çok samimiydi. Kesinlikle tavsiye ederim İlk defa bu kadar profesyonel, aynı zamanda sıcak ve içten bir tur deneyimi yaşadık sayesinde  gezdiğimiz yerler büyüleyiciydi. Hem kültürel olarak doyurucu hem de çok eğlenceli bir geziydi. Her birine ayrı ayrı teşekkür ederiz.",4,0,1,1,0,0
25-31 arası ege turuna katıldık söylenen tüm aktiviteler ve gezilecek yerler sonuna kadar dolu dolu gezdik herşey çok güzeldi rehberimiz Hatice hanım çok ilgili enerji dolu bir rehber son derece iyiydi 1 yıldızı sadece otellerden kırdım mevkiler çok güzeldi ama temiz değillerdi onuda görmezden geldik Hatice hanıma ve gezilife teşekkürler,4,0,1,1,1,0
"6-12 Eylul tarihleri icin Gezilife Turun Premium Ege Turunu tercih ettik. Tur rehberimiz Şevval hanimdan guler yüzünden ve enerjisinden fazlasiyla memnun kaldik. Izmirde turumuza dahil olan ve 2 gun boyunca bizlere turda eslik edip tarihi yerleri tanitan tur rehberimiz Suat beye de cok teşekkür ederiz. Genel olarak memnun ayrıldık tur bitiminden fakat otel konusu tamamen ofsaytı bizim icin. İlk konaklamamiz Kuşadası'nda denize yakın Cashmere otelde oldu. Oteli tur sirketi ayarladığı icin fazlasiyla vasattı. Havlularin temizliğinden emin olamadığımız icin kendi deniz havuzunu kullandık. Havuzu temizleniyor olmasına ragmen pis ve bulanikti dibi. Girmeyi tercih etmedik. Birde 2 gece boyunca akşam belli bir saatten sonra otelin elektriğini kesilmesine anlam veremedik. Otel ile ilgili tek olumlu yorumum kahvaltısının guzel olmasi ve otel çalışanlarının güler yüzlü olmasi. Baska hic bir albenisi yoktu. 2. Kaldığımız otel Fethiyede denize sıfır Sea door oteldi. Buradan cok memnun kaldik. Çalışanları cok nazik güler yüzlülerdi. Otel odaları,havlular ve çarşaflari temizdi. Sabah açık büfe kahvaltısı bitmiş olsa bile yenilemeyi ihmal etmediler. Akşam yemekleri cok lezzetliydi. Genel olarak otelden ve restoran kisminda calisan arkadaşlardan cok memnun kaldik. Tek sorun otelde asansör olmamasıydı ama onuda bavullarimizi taşıtarak hallettiler. Turun bitiminde guzel arkadaşlıklar edinebiliyorsunuz eğer sohbet etmeyi vs seviyorsanız 😊 Gelelim tekrar tercih eder miyim sorusuna? Turun içeriği guzel ama oteller vasatın altında. Tur şirketinin acilen buna el atması lazım. Ben belki tercih ederim ama günübirlik olan turları tercihim olur kalmalı turları degil. Bunu goz önüne alarak düşünebilirsiniz.",4,0,1,1,2,1
6-10 Kasım GAP turuna katıldık.Melisa Hanım kaptanlar ve ayrıca rehberden çok memnun kaldık.Dolu dolu geçen hem gözümüzün hemde midemizin fazlasıyla doyduğu bir turdu.Katılmanızı öneriyoruz,4,1,1,1,0,0
"20-26 Eylül Premium Ege turuna katıldım turdan ziyade şikayetim tura katılan bir iki kişi yönünde; Melisa hanım bölgeye tamamen hakimdi gideceğimiz yerler hakkında bilgilendirmeler ve seçenekler sundu tur programında bu var diye başka turlar gibi dayatma yapmadı. İlk gün kahvaltısı için fotoğraflı bilgilendirme yaptı buna rağmen kahvaltıda neden boyoz yok diye ortalığı birbirine katan bir kadın vardı gittiğimiz her yerde sorun çıkardı, üç kuruş para ödeyince garsonları ve turu satın aldığını zannedip istediği şekilde davranabileceğini zannedip haddini fazlasıyla aştı. bizi bıktırıp gittiğimiz mekanlarda bizi rezil etti buna rağmen Melisa hanımda iyi sabır varmış gayet saygılı, güler yüzlü ve çözümcüydü ama hanımefendi hiç bir şeyden memnun olmadı tabiki, gelirken otobüste perde yüzünden tartışma çıkardı koskoca kadın utanmadan hadsizce konuştu Melisa hanım tabi ki burda daha fazla dayanamadı ve polis çağıracağını söyledi polis lafını duyunca yine utanmadan ben böyle şeyler söylemedim dedi. Bunun dışında saçma sapan tartışma çıkaranlar oldu tabi ki. Whatsap kullanmayı bilmediği için tartışma çıkaran mı dersiniz otobüsün durması yasak olan alanda durmadığı için 10 dk yürüdüğü için söylenen mi dersiniz her türlü insan vardı.
Turla ilgili olarak Fethiye’deki otelde biraz hijyen sorunu ve sıcak su problemi vardı.",4,0,0,2,1,0
"18-23 Ağustos Büyülü Likya turuna katıldım. Benim için öncelikli olan güvenli bir seyahat. Mehmet Bey ve Mustafa Bey'in kaptanlığında güvenli bir seyahat tecrübesi yaşadık. Kaptanlarımızın yetkinliği ve yol hakimiyeti benim öncelikli dikkat ettiğim bir konuydu. Sonuçta canımızı emanet ediyoruz. Rehberimiz Melisa Hanım ile kaptanlarımız Mehmet Bey ve Mustafa Bey'in güler yüzleri sayesinde ufak tefek aksaklıkları görmezden geldik. 50 benzemez insanın aynı anda memnun edilmesi tabi ki imkansız. Ama benim beklentim karşılandı. Bir problem olduğunda hemen belirttim ve gerek rehberimiz gerekse kaptanlarımız çözüm odaklı olarak yaklaşım gösterdiler. Tur kapsamında konaklama yapılacak otelin değiştirilmesine çok sevindim. Çünkü önceki otelle ilgi çok olumsuz yorum okudum. Konakladığımız otel Ölüdeniz'de ortalama bir tur oteliydi ve plaja 10 dk mesafedeydi. Ölüdeniz plajına kolaylıkla ulaşım sağladım. Ayrıca bir çok turda da olduğu gibi Kaputaj Plajı panoramik görüntülenecek diye belirtilmesine rağmen rehberimiz Melisa Hn bize güzel bir sürpriz yaparak Kaputaj Plajı'nda 1,5 saat yüzme molası verdi. Bu beni çok mutlu etti. Çünkü o civardaki trafik ve insan kalabalığı göz önünde bulundurulduğunda oldukça zor olmasına ve tur programında panoramik görüntülenecek diye yazmasına rağmen programın dışına çıkılarak yüzme molası verilmesine çok sevindim. Kaptanlarımız bizi o sıcakta ve kalabalıkta sabırla beklediler ve asla yüzlerini asık görmedim. Sonuç olarak, güzel anılar biriktirdiğim bu tur için, kaptanlarımıza ve rehberimize güler yüzleri için teşekkür ediyorum...",4,1,1,1,1,0
27-28 İpeksoy termal otel turuna katılanlardanım otelimiz yemekleri ve hizmeti açısından çok güzeldi Simge hanımın ilgisi harikaydı kendisinden çok memnun kaldım kaptanımıza da ayrıca teşekkür ederim tek sorun otobüsün küçük olmasıydı ama yine de her şey çok güzeldi,4,1,0,1,1,1
"9,13 Ekim GAP turuna katılmaktan cok memnunum , şoförlerimiz değerli abim ibrahim bey'e ,Cengiz bey'e Rehberimiz değerli Salih kardeşime çok teşekkür ederim , keyif, eğlence, samimiyet , katılım hersey mükemmeldi, her zaman Gezi Life .....",4,1,1,1,0,0
"Gezilive ile çıktığımız GAP turu hayatımızın en keyifli deneyimlerinden biriydi. Her şey mükemmel organize edilmişti
Rehberimiz bilgili ve çok samimiydi. Kesinlikle tavsiye ederim İlk defa bu kadar profesyonel, aynı zamanda sıcak ve içten bir tur deneyimi yaşadım. Gezilive ekibine sonsuz teşekkürler
Başından sonuna kadar her şey düşünülmüş Ne konfor eksikti ne de eğlence
Gezilive farkını hissettiriyor
Her şehirde bizi ayrı bir kültür ve lezzet şöleni karşıladı. Özellikle yöresel yemekler konusunda Gezilive gerçekten işin uzmanı
Gezilive sayesinde sadece gezmekle kalmadık, bölgenin ruhunu yaşadık. Sıra gecesi, çiğ köfte, tarihi sokaklar… Hepsi unutulmazdı
Bu turda sadece yer görmedik, hikâyeler dinledik, insanlar tanıdık. Gerçek bir kültür yolculuğuydu

Özellikle Hatice Hanim ve Simge Yılmaz

Bu kadar güzel bir tur için Gezilive ekibine ne kadar teşekkür etsem az. Anılar biriktirdik, dostluklar kurduk. En kısa zamanda tekrar görüşmek üzere",5,0,1,1,0,1
"16/19 Batum, Tiflis turuna katıldım. Tam anlamı ile çok memnun kaldım ve çok eğlendim. Paranın her kuruşuna değiyor. Kesinlikle tavsiye ederim. Melisa hanım ve Uğur beyin rehberliği de harikaydı.",5,0,1,1,0,0
14-16 kasım kapadokya turuna katıldım. Herşey çok güzeldi cok eglendik öyle güzel yerlere aşık olmamak elde degil. Gittigimizde kqr yagdı cok güzeldi Otellimiz harikaydı ve trabzondan samsuna geldim bu turla gidebilmek için fiyat ve performans acısından cok güzel bir tur calısanınız melisa hanımda cok güler yüzlü bizimle cok güzel ilgilendi hepinizin eline emegine saglık…,5,0,0,1,1,0
"5 Ekim 2025 te Günübirlik Batum turuna katıldıgım için ben çok mutlu oldum ama umarım ekipte benim katılmamdan en a benim kadar mutlu olmuśtur😁, başlarına pekçok sorun çıkarsamda beni unutmayacaklarına emin olmak istiyorum. Samsun Gezi Life ile En kısa sürede tekrar yollara revan olacagıma eminim. Çok teşekkür ediyorum bu turun en yaşlısı olarak 😊👏👏👏",5,0,0,1,0,0
İstanbul gezisinden Amasya ekibi olarak mutlu bir şekilde dönüyoruz. Kaptanlarimiza ve Melisa kızımıza ilgi ve guleryuzlerinden dolayı teşekkür ediyorum. Bu ekiple beş yıldır bir aile ortamı gibi güvenli bir şekilde geziyoruz. Şehri hanimi ve ekibini kutluyorum.💐,5,1,0,1,0,0
24/25 Ocak hafta sonu Çankırı İpeksou termal otel tüm gezi sevenlere tavsiye ederim. Süper ötesi eğlendik. Beklentilerden üst seviye. Teşekkürler böyle hafta geçirdik sayenizde. Şehri Kıyak hanımın güler yüzü ayrı bir bizim için şans oldu💗. 👍👏👏👏,5,0,0,1,1,0
