"Yorum","Yildiz"
"Erzurum firması soğuk koşulları biliyorlardır tecrübeli firmadır diye düşündüm önce.. 24 Aralık Noel pazarları başlıklı gezi programına yazıldık 2 arkadaş. Batum hızlıca seri olarak gezildi.. o meşhur Ali Nino diye telaffuz ettiğimiz heykelleri bile rica minnet 5 dakika görüp acilen otobüse bindirildik. Rehberimiz Gürcüce bilmeyip anlatımı kendini övme ve geçmiş negatif gezilerini anlatmasıyla geçti. Firma yerel bir rehber bulmalıydı. Kaldı ki rehberimiz Onur bey de ifade etti Rusça konuşanları sevmediklerini o Rusça biliyordu sadece.. İlk gün rezil bir Otele acemice yerleştirildik küf rutubet ve pis yerdi elbette olay çıktı gerginlik içinde gece geçti firma görevlileri burada suçlu tek kelimeyle.
Sonrasında sabah toplanma ve yeni otele yola çıkış hadi bu kez yolu kaybeden bölgeyi bilmeyen şoförümüz ile yarım saatlik yol oldu 2 saat, şehir dışında ama lüks bir otele yerleştik. İkinci yıldızı bu yüzden verdim... Trafik yoğunluğu yol bilmemeleri gerginlik yarattı ve yorulmuştuk tüm yolcular olarak. Bunu anlayan yetkili de yoktu otobüste.
Ertesi gün her gideceğimizi belirttikleri yerlere gidemedik hiçbiri olmadı sürekli otobüs içinde dolandık durduk. Wc ihtiyacı olanlara da imkan sağlanması olmadığı gibi kızdılar bu sorun vücut ile ilgili sağlık konusudur oysa.... Hiçbir iletişim sağlanmadığı gibi insanlar arasında tartışma çıktığında oturup duran rehberimizi gördük. Tarihî bilgilerin kısa bölümlerini biz internette de bulabiliyoruz öyle değil mi? Dil bilmeyen insanları niye rehber olarak gönderdiler bu tamamen firma sorunudur!!!! Biz rehber yardımcısı Emre'nin sayesinde yürüyebildik güldük eğlendik. Sadece ona teşekkür ediyorum ayrıca diğer otobüs de yardımcı rehber Özlem cim bizlere de yardımcı oldu iki Genç çok kıymetli... Firma sahibinin bu konuda bilgisi olmalıdır.","2"
"Yeni yıl öncesi İzmir çıkışlı Erzurum, Batum , Tiflis, Kars turuna arkadaşlarımla birlikte katıldım. Rehberimiz Yavuz Bey çok yardımcı çok profesyonel ,her konuda bize destekti öncelikle ona çok teşekkür ederiz. Programın yoğunluğu dolayısıyla özellikle gece dinlenmek en doğal hakkımız dı. Ama maalesef Tiflis te ki otel seçiminiz bizi inanılmaz mağdur etti. O otel diyemeyeceğimiz yeri bilmiyor olmanız mümkün değil .sanırım Tiflis te konaklanabilecek en kötü yerdi. Temizlik falan o konulara girmiyorum bile....Yatak çok eski ,incecik bir süngerdi. Bizim bütün keyfimiz kaçtı, dileğim hemen o oteli değiştirip başkalarının burnundan getirmemeniz...","2"
"Güzel turları var ancak turumuz sadece 2 gün kala iptal edildi. Yurt dışından geldiğimiz ve planlı hareket ettiğimiz için son anda başka bir plan yapmak zorunda kaldik.","2"
"Erzurum firması soğuk koşulları biliyorlardır tecrübeli firmadır diye düşündüm önce.. 24 Aralık Noel pazarları başlıklı gezi programına yazıldık 2 arkadaş. Batum hızlıca seri olarak gezildi.. o meşhur Ali Nino diye telaffuz ettiğimiz heykelleri bile rica minnet 5 dakika görüp acilen otobüse bindirildik. Rehberimiz Gürcüce bilmeyip anlatımı kendini övme ve geçmiş negatif gezilerini anlatmasıyla geçti. Firma yerel bir rehber bulmalıydı. Kaldı ki rehberimiz Onur bey de ifade etti Rusça konuşanları sevmediklerini o Rusça biliyordu sadece.. İlk gün rezil bir Otele acemice yerleştirildik küf rutubet ve pis yerdi elbette olay çıktı gerginlik içinde gece geçti firma görevlileri burada suçlu tek kelimeyle. Sonrasında sabah toplanma ve yeni otele yola çıkış hadi bu kez yolu kaybeden bölgeyi bilmeyen şoförümüz ile yarım saatlik yol oldu 2 saat, şehir dışında ama lüks bir otele yerleştik. İkinci yıldızı bu yüzden verdim... Trafik yoğunluğu yol bilmemeleri gerginlik yarattı ve yorulmuştuk tüm yolcular olarak. Bunu anlayan yetkili de yoktu otobüste. Ertesi gün her gideceğimizi belirttikleri yerlere gidemedik hiçbiri olmadı sürekli otobüs içinde dolandık durduk. Wc ihtiyacı olanlara da imkan sağlanması olmadığı gibi kızdılar bu sorun vücut ile ilgili sağlık konusudur oysa.... Hiçbir iletişim sağlanmadığı gibi insanlar arasında tartışma çıktığında oturup duran rehberimizi gördük. Tarihî bilgilerin kısa bölümlerini biz internette de bulabiliyoruz öyle değil mi? Dil bilmeyen insanları niye rehber olarak gönderdiler bu tamamen firma sorunudur!!!! Biz rehber yardımcısı Emre'nin sayesinde yürüyebildik güldük eğlendik. Sadece ona teşekkür ediyorum ayrıca  otobüs de yardımcı rehber Özlem cim bizlere de yardımcı oldu iki Genç çok kıymetli... Firma sahibinin bu konuda bilgisi olmalıdır.","2"
"Merhaba 22....26 ağustos ucaklı ve trenli batum tiflis turunu üç aile yanı 6 kişi satın aldık tabi bunu almamızdaki sebep Batum Tiflis arasındaki tren yolculuğuydu fakat ne yazık ki büyük hayal kırıklığı yaşadık çünkü Cemre tur bize hiçbir …","2"
"Kaldığımız oteller güzeldi, onun haricinde turdan önce bilgilendirlen rakamlar hep  çıktı. Rehberimiz Hande Hanım ne kadar kendine göre dörtdörtlük olduğunu belirtsede turdaki 2 3 kişi hariç hepimiz şikayetçiydik.Kendi isteğimizle …","2"
"Kapodokya gezimizde konakladığımız otel ve hizmetten memnun kaldık . Otobüsümüz biraz rahatsızdı, ikram olarak sadece su olmasına rağmen dönüş yolculuğunda oda temin edilmedi, agresif rehber eşliğinde rahat bir gezi olmadı, rehberin …","2"
"Rehberin anlatımı ve otellerin dışında hersey kötüydü sabah erkenden kaldırıldık aksam 9 10 larda otele girdik gittiğimiz yerlerde hep biseyler satmaya çalıştılar serbest zaman vermediler tam anlamıyla hayal kırıklığı 👎🏻","2"
"Mardin harika ama turumuzda bazı organizasyon eksikleri olmasaydı daha iyi olacaktı","2"
"Rehber facia idi , otobüs rezalet . Otel seçimi tam isabet , mükemmel idi yani . Gezi iştirakçilerine sabırlarından dolayı içtenlikle tebrik ediyorum .","2"
"19 Eylül (2025) Uçaklı Karadeniz yaylalar ve Batum Turu katılımcısı Ertan & Betül FESLİGEN …","3"
"Dün itibari ile bir hafta süren uçaklı Balkan turumuzdan dönmüş bulunuyoruz. Genel anlamda iyi geçtiğini söyleyebileceğim turumuz sırasında öğrendik ki ; biz Cemre Tur misafirleri olarak (9 kişi) başka bir tur grubuna eklenmiş ve seyahat …","3"
"16-18 Ağustos Fethiye, Likya Turu. Öncelikle güzel yönlerinden bahsedip sonra eleştirilerimi yapmak istiyorum. Safari ve tekne turlarından çok memnun bir şekilde ayrıldık. Her anı dolu dolu ve çok keyifli geçti. Fakat ulaşım konusu tam bir …","3"
"Cemre Turdan üç gecelik GAP turu hizmeti aldık. Öncelikle kaptan Ali bey ve rehberimiz Ercan bey her anlamda bizlere yardımcı olmaktan kaçınmadı, güzel anlatımlar ve yormayan yolculuk ile tur süresince hizmet verdiler, kendilerine teşekkür …","3"
"Hayırlısıyla tur bitti herkese teşekkür ederim İyi geçti tam manisanın tünel ortasında mazot bitti araba durdu hepimiz korktuk. hepimize geçmiş olsun Allah herkese yardımcın olsun Taner rehber çok iyi adamdı anlatımları cok başarılı sadece rehberden memnun kaldık otobüs çok kötü toz içindeydi","3"
"Turda kullanılan araç küçük olduğu için gidiş ve dönüş yolculuğu çok yorucuydu.Rehberimiz Can bey ilgisizdi.Son gün tekne turundan sonra dönüşe geçmeden önce kafasına göre fethiye merkezde serbest zaman verdi yolda yemek yiyecek yer yok …","3"
"Merhabalar Dün izmir Eskişehir turuna katıldım.Sıkıntılqr yaşandı ama Eren arkadasimizin kibarlığı,iletisimi,yaklasımı icin cok tesekkur ediyorum.Biz onu tanıdıgımıza cok memnun olduk.🌸🌸🌸🌸","3"
"17-19 mayıs arası Kapadokya gezisi rehberinin yapmış olduğu gezi yer ve zaman planlaması kısıtlamalarla ve rehberin asabiliği ile geçti . Otobüs yolculuğunda ikramsız kalmamızla beraber dönüş yolunda otobüste su dahi kalmadı. Organizasyonun …","3"
"Doğu ekspresi turuna katıldık.Tur umduğundan güzeldi.Özellikle Rehberimiz Ahmet Bey ve kaptanımız Adem sayesinde çok güzel günler geçirdik.Van ve Erzurum otellerimiz çok iyi olmasına karşın Kars’taki otelimiz çok vasattı ayrıca akşam …","3"
"19 Eylül (2025) Uçaklı Karadeniz yaylalar ve Batum Turu katılımcısı Ertan & Betül FESLİGEN

Öncelikle bu turda emeği geçen İzmir Cemretur çalışanlarına teşekkür ederiz. Fakat rehperimiz İsmail Erke bey sıcakkanlılığı, dostane tavırları , bilgileri akıcı anlaşılır sunumu, pozitif enerjisi ile ayrı bir teşekkürü hakediyor. Minübüs sürücüsü Dursun bey ile muhteşem bir ikili olmuşlar aynı özelliklerdeki iki kişi turda bize hiç yabancılık hissettirmediler. Dursun bey’de İsmail bey’de yerine göre abi,kardeş yerine göre tura katılanlardan biriymiş gibi katılımcıları rahat hissettirdiler. İsmail bey ve Dursun bey’e tekrar tekrar teşekkür eder ileride tekrar karşılaşmak istediğimi tüm samimiyetimle söyleyebilirim.

İlk defa tura katıldığımız halde İzmir Cemretur ile ilk izlenimimiz güzel oldu","3"
"Ben ve arkadaşlarım 5 kişi birlikte 14-16 kasım 2025 de Yedigöller, Gölcük, Abant, Ormanya, Sapanca, Maşukiye, Ağva, Şile turuna katıldık, butik ve çok keyifli bir gezi oldu bizim için, kısa ama bir o kadar da dolu, dolu grçti turumuz, unutulmaz anılarla ayrıldık. Tüm emeği geçenlere teşekkür ederim.","4"
"Edirne Kakava Festivali turumuz çok güzel geçti. Rehberimiz Olcay beye, Eren kardeşimize, kaptan arkadaşlarımıza sonsuz teşekkürler. Sadece otobüste ki cam sorunu ve koltukların rahat olmaması dışında herşey güzeldi. Başka güzel turlarda bir arada olmak dileğiyle.","4"
"Geçen hafta cemre tur ile gap turuna katıldık. Otelleri çok güzel tur rehberimiz Yunus Emre Bey çok bilgili ve tecrübeli bir adamdı iletişimi çok iyiydi. Genel anlamda tur güzeldi fakat turun kullandığı araçla bazen 3-4 saatlik yolculuklar …","4"
"30 ağustos 1 eylül Fethiye turuna iki arkadaş katıldık.biz büyük bir otobüs beklerken küçük bir araç geldi bizi almaya,koltuk mesafeleri çok dardı.rahatsız bir yolculuk yaptık.mavi yaprak otelde kaldık.banyosu biraz pisti.onun dışında …","4"
"Geçen hafta cemre tur ile gap turuna katıldık. Otelleri çok güzel tur rehberimiz Yunus Emre Bey çok bilgili ve tecrübeli bir adamdı iletişimi çok iyiydi. Genel anlamda tur güzeldi fakat turun kullandığı araçla bazen 3-4 saatlik yolculuklar yapmamız gerekiyor araç koltukları çok küçüktü ve priz yoktu araç içerisinde şehirlerarası yolculuk yaparken çok zorlandık o yüzden. Bir de naçizane fikrim rehberin yanına veya arkasına yaşlı kişiler oturtulmamalı yaptıkları saçma yorumlar ve memnuniyetsizlikleri ile rehberin sabrını fazlasıyla sınıyorlar.","4"
"30 ağustos 1 eylül Fethiye turuna iki arkadaş katıldık.biz büyük bir otobüs beklerken küçük bir araç geldi bizi almaya,koltuk mesafeleri çok dardı.rahatsız bir yolculuk yaptık.mavi yaprak otelde kaldık.banyosu biraz pisti.onun dışında iyiydi.yemekleri yeterli ve güzeldi.sadece tatlı bekledik,hiç çıkmadı hep karpuz vardı.çalışanları sıcak ve ilgiliydiler.jeep safari çok iyiydi çok eğlendik.ölüdeniz kumburnu da denize girdik süre yeterliydi.tekne turunda teknenin üstünde kelebekler vadisi yazıyordu ama oraya gitmedik.rehmerimiz can bey çok tatlı ilgili bir insandı süreleri çok iyi ayarladı kendisine teşekkür ediyoruz.çok güzel bir tatildi.çok eğlendim.emegi geçenlere teşekkürler","4"
"GAP turunu deneyimledik. Rehberimiz Emrah Bey sayesinde çok keyif aldık gezimiz sorunsuz geçti. Emrah Beye teşekkür ederiz.","4"
"Cemre tur ile Antalya/ Olympos turuna katıldık, tur güzergahı güzel olmasına rağmen ne yazık ki konaklama için seçilen yer iyi değildi. Seçilen yerin verdiği yemekler de aynı şekilde kötüydü. Fakat bunların yanında Emrah Bey şahane bir rehber ve neşeli karakteriyle bütün turu ve gezilen her yeri keyifli hale getiriyor. Kendisinin hiç bitmeyen bir enerjisi var, gidilen her yere ve turdaki herkese hakim. Bu turu güzel hale getirdi kendisi.","4"
"Merhaba, 17 mayıs kapodokya turuna katıldım, çok yorucu fakat bir o kadar çok güzeldi, çok keyif aldım, ommer otel çok güzeldi.. Rehber Özcan Bey 👎, bir yıldızı ondan eksik verdim, yinede çok teşekkür ederim","4"
"Cemre turla balkan turuna katıldık rehberimiz Altan beyden çok memnun kaldık otellerimiz güzeldi gezebileceğimiz en maksimum düzeyde gezdik zamanı rehberimiz Altan bey çok güzel yönetti","4"
